IncidentNum,DateTime,Lat,Lon,Address,IncidentType,ActionTaken,Remarks
2021000004879,07/02/2021 11:43,42.5077819,-71.2750091,"200 Springs Rd #62, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a call reporting a medical at the VA. L1 and M2 dispatched, VA PD notified. M2 transported to Lahey "
2021000004880,07/02/2021 11:49,42.491325,-71.2470038,"7 Crestview Rd, Bedford, MA 01730, USA",Alarm Resident,Cancelled Response," Received a call from American Alarm reporting an alarm activation at the Leader residence, 7 Crestview Road.  Car5-Lavine and Car8-Hunt dispatched. Both units were cancelled prior to arrival per the alarm company. "
2021000004884,07/02/2021 13:00,42.4945966,-71.2608788,"75 Page Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004887,07/02/2021 13:15,42.5052178,-71.2698008,"100 Pride Way, Bedford, MA 01730, USA",Alarm (Other),VA PD Notified, Received a call reporting a panic alarm at 100 Pride Way. VA PD notified. 
2021000004891,07/02/2021 18:10,42.5123273,-71.258721,"292 Old Billerica Rd, Bedford, MA 01730, USA",Informational,For Log Only, Caller reports that his cement flower pot was stolen from the end of his driveway at 292 Old Billerica Rd. RP does not  wish to speak with a police officer. He just wants it noted. 
2021000004892,07/02/2021 19:08,42.4751077,-71.2651711,"43 Neillian Way, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car 5 Busa reported a directed patrol at 43 Neillian Way all is in order. 
2021000004893,07/02/2021 19:16,42.4725262,-71.2756824,"400 South Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004894,07/02/2021 20:23,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area," Car 3 Weisenborn reported a directed patrol at 19 Cot Hill Rd, all is in order. "
2021000004895,07/02/2021 20:30,42.485008,-71.2576052,"1 Shawsheen Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004896,07/02/2021 20:51,42.4942251,-71.2919306,"3104 Avalon Dr, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call from 3104 Avalon Drive requesting EMS for a Medical. Medic-2, S-1, Car 8 Hunt dispatched.  Medic 2 transported 1 to Lahey. "
2021000004897,07/02/2021 22:06,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car 3 Weisenborn reported a directed patrol at 19 Cot Hill Road all is in order. 
2021000004898,07/02/2021 23:50,42.4739275,-71.2708728,"Eliot Rd & Saran Ave, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004899,07/02/2021 23:59,42.4751077,-71.2651711,"43 Neillian Way, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car5 Busa reports check of 43 Neillian Way. 
2021000004900,07/03/2021 00:05,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car3 Weisenborn reports check of 19 Cot Hill Road. 
2021000004901,07/03/2021 00:12,42.4913661,-71.2737789,"160 Great Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004902,07/03/2021 00:20,42.5088847,-71.2362839,"44 Middlesex Turnpike, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004903,07/03/2021 00:22,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004904,07/03/2021 01:06,42.4911791,-71.2825488,"12 Mudge Way, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004905,07/03/2021 03:13,42.50432,-71.0694156,"1 Union St, Wakefield, MA 01880, USA",Patrol Initiated Area Check,For Log Only, ECO Vinciulla reports NEMLEC callout to Wakefield. 
2021000004907,07/03/2021 06:54,42.4913239,-71.2789063,"16 South Rd, Bedford, MA 01730, USA",Alarm Commercial,Report," Received a call from Property Protection reporting a commercial burglar activation at Old Town Hall, 16 South Road.  Car3 Maloney and Car8 Hunt dispatched. Cars report that the front entrance was unlocked. See Officer Maloney's  report. "
2021000004908,07/03/2021 18:05,42.5046463,-71.2734832,"200 Springs Rd #2, Bedford, MA 01730, USA",911 - Hangup or Abandonded,VA PD Notified," Received 911 cell phone call from VA building #2. The call appeared to be a ""pocket dial"". At callback, the call went  to a Spanish speaking voicemail. Notified VA PD, they will check the area. "
2021000004909,07/03/2021 18:09,42.5027767,-71.2737209,"200 Springs Rd #2b, Bedford, MA 01730, USA",911 - Hangup or Abandonded,VA PD Notified," Received a wireless 911 abandoned call from the area of VA Hospital, 200 Springs Road, Building 2. On the call  back spoke to the caller who provided his name and DOB and stated he is in Building 2-B. VAPD notified and will  check out the area. "
2021000004910,07/03/2021 20:34,42.5111669,-71.237964,"1105 Thompson Farm, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," 911 call from resident at 1306 Thompson Farm reporting the fire alarms have been going off for 2 hours at 1105  Thompson Farm. She attempted to contact maintenance, but their voicemail box is full. Car9 Waite dispatched.  Bedford E-4 responding. The FD was unable to get inside the unit. Thompson Farm contact numbers all called,  without any contact made. Voicemails left. There was no evidence of smoke/fire. FD cleared. "
2021000004911,07/03/2021 21:00,42.5027767,-71.2737209,"200 Springs Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC, Received a call from employee at VA Building 5 requesting ambulance for a medical problem. Car8 Busa dispatched.  VA PD notified. Bedford E-4 Squad-1 and Medic-2 responding. Medic-2 transported to Lahey. 
2021000004912,07/03/2021 21:08,42.5160996,-71.2809177,"66 Sweetwater Ave, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004913,07/03/2021 21:08,42.4751077,-71.2651711,"43 Neillian Way, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Officer Weisenborn reports directed patrol check at 43 Neillian Way. All in order. 
2021000004914,07/03/2021 21:12,42.4852375,-71.2649159,"5 Alfred Cir, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Officer Weisenborn reports a directed patrol at 5 Alfred Circle. All in order. 
2021000004915,07/03/2021 21:41,42.505452,-71.270692,"200 Springs Rd # 4, Bedford, MA 01730, USA",911 - Hangup or Abandonded,VA PD Notified," Received 2 911 calls from a party at the VA hospital, in building 4, room 271. The caller reports his phone told him to  call 911, and he can't make it call anything else. There are no emergencies. Relayed the info to the VA PD, they will  assist him with his phone. "
2021000004916,07/03/2021 22:15,42.4874599,-71.2810408,"10 Highland Ave, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Officer Weisenborn reports a directed patrol check at 5 Highland Avenue. All in order. 
2021000004917,07/03/2021 22:29,42.5082341,-71.3145743,"400 Carlisle Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004918,07/03/2021 22:41,42.4966458,-71.2790455,"53 Wayte Rd, Bedford, MA 01730, USA",Suspicious MV or Pers,Spoken To, 911 call from resident of 53 Wayte Road reporting that someone is knocking on her bedroom window at the rear of  the house. Car8 Busa and Car3 Weisenborn dispatched. The caller then stated that it was her son who was at the  home. Officer Busa confirmed there were no emergencies. 
2021000004919,07/03/2021 23:10,42.485008,-71.2576052,"1 Shawsheen Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004920,07/03/2021 23:23,42.4913661,-71.2737789,"160 Great Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004921,07/04/2021 00:07,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004922,07/04/2021 00:19,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, No dispatcher remarks listed. 
2021000004923,07/04/2021 00:30,42.4931097,-71.273996,"Bedford Village, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004924,07/04/2021 08:06,42.4971235,-71.2761686,"1 Hamilton Rd, Bedford, MA 01730, USA",Animal Call,Checked Area," Received a call for a dog in the area of 1 Hamilton Road. T1 Undzis dispatched. Sergeant Undzis talked to a person  who identified themselves as the dog sitter. Sergeant Undiz checked the area with negative results. ***At 0917 dog  has been located, no further assistance needed*** "
2021000004925,07/04/2021 08:40,42.4989929,-71.2601776,"79 Essex Ct, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call reporting a medical at 79 Essex Court. Car9-Waite, Sqd-1 and Medic-2 dispatched. Medic-2  obtained a signed refusal. "
2021000004926,07/04/2021 08:53,42.4484799,-71.2552857,"MA-128 North, Lexington, MA, USA",Assist Other Police Department,Assisting Party, Received a cell phone 911 call reporting a motor vehicle accident on Route-128 North Bound by Exit 46. The call was  transfered to MSP Concord. 
2021000004927,07/04/2021 09:04,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car 9 reported a directed patrol of 19 Cot Hill Rd. All is in order. 
2021000004928,07/04/2021 10:37,42.3817481,-71.2249374,"34 Middlesex Cir #7, Waltham, MA 02452, USA",Assist Other Police Department,Notification," Received a call from Medical Guardian reporting a medical in Waltham, 34 Middlesex Circle, Apt-7. Waltham 911  was notified. "
2021000004930,07/04/2021 14:49,42.490913,-71.2728508,"170 Great Rd, Bedford, MA 01730, USA",911 - Hangup or Abandonded,Nothing Found," Received a wireless 911 call from the area of Whole Foods, 170 The Great Road. No answer on both call backs, two  messages were left. Car3 Weisenborn dispatched. Car5 Lavine took the call. Officer Lavine reports everything is  clear. "
2021000004931,07/04/2021 15:16,42.5008952,-71.2467486,"138 Old Burlington Rd, Bedford, MA 01730, USA",911 - Hangup or Abandonded,Nothing Found," Received a wireless 911 abandoned call from the area of 138 Old Billerica Road. On the call back spoke to a caller  who confirmed no emergencies. But due to a language barrier and english as his second language, I was unable to  get the callers name and DOB. Car3 Weisenborn dispatched to the area. Officer Weisenborn reports the area is  clear and no emergencies are present. "
2021000004932,07/04/2021 15:43,42.4959133,-71.2799735,"69 Fletcher Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC, Received a 911 call from 69 Fletcher Road requesting EMS for a medical. Squad1 and Medic2 responding. Car9  Waite dispatched. Medic2 received a signed patient refusal. Caller is going to have a neighbor drive him to the  hospital. No EMS. 
2021000004933,07/04/2021 15:57,42.4876106,-71.2788599,"87 South Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call from 87 South Road requesting EMS for a medical. Engine4 and Medic2 responding. Car5  Lavine dispatched. Medic2 transporting one to Emerson Hospital, 6.4 miles. "
2021000004934,07/04/2021 18:02,42.4856669,-71.2642127,"297 Great Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC, 911 call from employee at Ocean State Job Lot requesting ambulance for medical problem. Car5 Lavine dispatched.  Bedford E-4 and Medic-2 responding. Bedford Medic-2 transported to Lahey. 5.1. 
2021000004935,07/04/2021 18:05,42.4962404,-71.2752173,"102 Springs Rd, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," Received a 911 call from the area of 102 Springs Road requesting a life assist. Squad1 responding. Car9 Waite  dispatched. Engine4 responding from a prior medical. Squad1 reports they can handle, Engine4 cancelled. Units  were able to assist the resident. No EMS. "
2021000004938,07/04/2021 19:35,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Officer Weisenborn reports a directed patrol check at 19 Cot Hill Road. All in order. 
2021000004939,07/04/2021 19:48,42.4749209,-71.2661706,"Neillian Way & Neillian St, Bedford, MA 01730, USA",Directed Patrol,Checked/Secured, Officer Lavine reports a directed patrol check on Neillian Street and Neillian Way. 
2021000004940,07/04/2021 19:52,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004941,07/04/2021 20:15,42.4725262,-71.2756824,"400 South Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004944,07/04/2021 20:59,42.4921371,-71.2803216,"55 Great Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a call from FHQ reporting they had a walk in medical. The FD assisted this party, and obtained a patient  refusal. "
2021000004945,07/04/2021 21:22,42.4751017,-71.2651575,"43-45 Neillian Way, Bedford, MA 01730, USA",Fireworks,Checked Area," Antonymous caller reports fireworks on Neillian Way, somewhere in the 40's. Car5 Lavine dispatched. Officer Lavine  checked the area, and it was quiet at this time. "
2021000004946,07/04/2021 21:39,42.485008,-71.2576052,"1 Shawsheen Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, 
2021000004947,07/04/2021 21:48,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Officer Weisenborn reports a idrected patrol check at 19 Cot Hill Road. All in order. 
2021000004948,07/04/2021 22:28,42.485404,-71.3098898,"410 Davis Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, Officer Waite reports a patrol check at the Davis Elementary School. He spoke with the reg/own of MA reg 16YH38  who was there walking his dog. All in order. 
2021000004952,07/05/2021 08:30,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Officer Waite reports a directed patrol check at 19 Cot Hill Road. All in order. 
2021000004953,07/05/2021 10:29,42.4805017,-71.2828504,"91 Hartwell Rd, Bedford, MA 01730, USA",Death,Report," Sgt Abajian received word of a possible sudden death at 91 Hartwell Road. Car8 Kennedy, Car4 Sgt Abajian, T-1 Sgt  Undzis dispatched. Bedford E-4 Medic-2 responding. This was a police matter. Sgt Abajian requests notification to  CPAC and the ME's office. Car6 Det Sgt Vitale dispatched. Shawsheen Funeral Home notified. See report. "
2021000004954,07/05/2021 11:19,42.4737308,-71.271225,"4 Saran Ave, Bedford, MA 01730, USA",Larceny,Report," Received a call from a Saran Avenue resident reporting a larceny caught on his ring video. He witnessed the female  who lives at 2 Saran Avenue go to 5 Saran Avenue and steal the flag, and then go and steal a plant.  Car9 Waite  dispatched to call this party back. "
2021000004955,07/05/2021 13:16,42.492624,-71.3066071,"232 Davis Rd, Bedford, MA 01730, USA",Animal Call,Gone On Arrival, Received a call from the neighbor of 232 Davis Road requesting assistance with a possible sick raccoon that will not  leave her porch. T-1 Sgt. Undzis dispatched. Sgt. Undzis reports the animal was gone on arrival. The homeowner  was advised of some of the wild life resources that are available for situations like this. 
2021000004956,07/05/2021 14:10,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Nothing Found, Car9 Waite conducted a directed patrol of the residence of 19 Cot Hill Road. All appears to be in order. 
2021000004957,07/05/2021 14:39,42.5049082,-71.2388019,"202 Burlington Rd, Bedford, MA 01730, USA",Unwanted Guest,Removed," Received a 911 call from Mitre Security at Mitre Corp, 202 Burlington Road reporting there is a naked male sun  bathing on their baseball field. Car5 Lavine and Car9 Waite dispatched. Burlington Police  were notified due to the  close proximity of the field to their town. Officers advised him what he is doing is not acceptable and will be on his  way. The involved individual was also advised that Mitre Security does not want him back on their property. "
2021000004958,07/05/2021 16:50,42.5088847,-71.2362839,"44 Middlesex Turnpike, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004959,07/05/2021 17:02,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car 5 Lavine reports a check of 19 Cot Hill RD.  All is in order. 
2021000004960,07/05/2021 17:40,42.5082341,-71.3145743,"400 Carlisle Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004961,07/05/2021 17:44,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004962,07/05/2021 18:16,42.4928408,-71.2827344,"2 Mudge Way, Bedford, MA 01730, USA",Animal Call,Caller Advised, Received a call from a call from a resident who reports she found a lost orange and white cat in the area of Hilltop  Drive. The RP brought the cat to the vet and scanned the microchip but had an ID number but no address assigned  to it. Car9 Waite was notified and made a post on social media about it. The RP was notified that the post was made  and her contact info has been uploaded incase the owner needs to contact her. 
2021000004964,07/05/2021 19:19,42.4902431,-71.2741501,"168 Great Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004966,07/05/2021 20:15,42.4941988,-71.2854025,"18 North Rd, Bedford, MA 01730, USA",MV Stop,Warning - Verbal, No dispatcher remarks listed. 
2021000004968,07/05/2021 20:39,42.4918515,-71.2565106,"100 Shawsheen Rd, Bedford, MA 01730, USA",Suspicious MV or Pers,Gone On Arrival, Caller reports that a white SUV was parked with his hazard lights on near the water treatment plant on Shawsheen  Rd. Officer Kennedy checked the area with nothing found. 
2021000004969,07/05/2021 20:39,42.5066752,-71.2597169,"8 Sweeney Ridge Rd, Bedford, MA 01730, USA",B&E,Report," Received a call from the resident of 8 Sweeney Ridge Rd. reporting he just returned from vacation and discovered  his house was broken into. Car5 Lavine, Car9 Waite, and Car4 Sgt. Undzis dispatched. Lt. Jones notfied. Car12 Det.  Martin responding. See reports. "
2021000004970,07/05/2021 21:47,42.4778769,-71.2935458,"191 Hartwell Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a call reporting a medical at 191 Hartwell Rd. E4, M2, and Car8 Kennedy dispatched. M2 transported to  Lahey "
2021000004971,07/06/2021 00:41,42.4749209,-71.2661706,"Neillian Way & Neillian St, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004972,07/06/2021 00:45,42.4833454,-71.282572,"28 Washington St, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car3 Weisenborn reports check of 28 Washington Street. 
2021000004973,07/06/2021 00:54,42.5221401,-71.276911,"4 Fox Run Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004974,07/06/2021 01:01,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car5 Lavine reports check of 19 Cot Hill Road. 
2021000004975,07/06/2021 01:07,42.4957389,-71.2699785,"Kingsley Terrace & Page Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car5 Lavine reports check of 
2021000004976,07/06/2021 01:51,42.4829696,-71.2650914,"2 Preston Ct, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," 911 call reporting a medical at 2 Preston Court, Car5 Lavine, Car3 Weisenborn, E4, E4, Medic2 dispatched. Medic2  transporting 1 to Lahey. "
2021000004977,07/06/2021 02:56,42.5091819,-71.2448531,"28 Crosby Dr, Bedford, MA 01730, USA",Alarm Commercial,Report," RI Associates reporting an alarm at 28 Crosby Drive, Coravin, Car5 Lavine and Car3 Weisenborn dispatched. Officer  Lavine reports the front door was unsecured. Building was unsecured due to a power outage in the area, Eversource  notified. See report. "
2021000004978,07/06/2021 03:00,42.501301,-71.2356414,"213 Burlington Rd, Bedford, MA 01730, USA",Alarm Commercial,Checked Area," Chase moniitoring reporting the cameras went out at the stand alone ATM at 213 Burlington Road, Car3 Weisenborn  reports the ATM is secure at this time. "
2021000004979,07/06/2021 06:00,42.5137232,-71.3005178,"7 Chestnut Ln, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," 911 call from 7 Chestnut Lane reporting a medical, Squad1, Medic2, and Car3 Weisenborn dispatched. Medic2  transporting 1 to Lahey. "
2021000004980,07/06/2021 07:37,42.5052178,-71.2698008,"100 Pride Way, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," 911 call transfer from Regional requesting a lift assist at 100 Pride Way, Unit 301. Bedford Medic-2 responding. VA  PD notified and responding. FD assisted the patient and obtained a patient refusal. "
2021000004981,07/06/2021 08:16,42.4832241,-71.3055863,"5 Glen Terrace, Bedford, MA 01730, USA",Alarm Resident,Cancelled Response," American Alarm reports residential alarm activation at the Smith residence, 5 Glen Terrace. The alarm is for the  garage door. Car8 Hunt and Car3 Maloney dispatched. Prior to the arrival of the Officers, American Alarm called to  cancel. This was accidental by the homeowner. "
2021000004982,07/06/2021 08:49,42.4856669,-71.2642127,"297 Great Rd, Bedford, MA 01730, USA",Suspicious MV or Pers,Spoken To, Property Manager at GRSC requests an Officer respond in regard to 2 box trucks that spent the night parked in the  lot. Car3 Maloney dispatched. Officer Maloney and Carl Centola made contact with the drivers of these MV's who  were taking a nap. Officer Maloney reports there are no signs that state there is no overnight parking in the lot. 
2021000004983,07/06/2021 09:24,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Officer Abajian reports a directed patrol at 19 Cot Hill Road. All in order. 
2021000004984,07/06/2021 09:44,42.4849554,-71.2662315,"4 Alfred Cir, Bedford, MA 01730, USA",Animal Call,Spoken To," John from QuickSilva Law, 4 Alfred Circle reports a sick or injured raccoon in the dumpster. Car3 Maloney  dispatched. Officer Maloney reports he is unable to euthanize the animal while it is inside the dumpster. He spoke  with the caller. "
2021000004985,07/06/2021 11:28,42.4866978,-71.2689326,"1 Ashby Pl APT G1, Bedford, MA 01730, USA",Harassment,Report," Resident of G-1 Ashby Place into station to report she is being harrassed by another resident of Ashby Place. She  has already made complaints with Ashby Place Management, and has been told it is a Police matter. Car3 Maloney  dispatched. See Officer Maloney's report. "
2021000004986,07/06/2021 11:48,42.48821,-71.26811,"Great Rd & Brooksbie Rd, Bedford, MA 01730, USA",Animal Call,Nothing Found," Received a call from an operator of a MV reporting that there is an injured turkey in the roadway at Brooksbie Road  and The Great Road, 150 yards in. Car5 Sgt. Abajian dispatched. Sgt. Abajian drove the whole length of Brooksbie  Road and no turkeys were present. Gone on arrival. "
2021000004987,07/06/2021 12:49,42.485583,-71.2606004,"340 Great Rd, Bedford, MA 01730, USA",Civil Problem/Complaint,Assisting Party," Received a call from a guest at the Bedford Plaza Hotel,  340 The Great Road regarding a civil problem with  management over a refund. Car3 Maloney dispatched. Officer Maloney advised the guest to call his credit card  company and advised the hotel management to add a sign that reads no refunds. No further police action. "
2021000004988,07/06/2021 13:05,42.4921371,-71.2803216,"55 Great Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC, FD had a walk in medical. Bedford Medic-2 transported to Lahey. 
2021000004989,07/06/2021 13:22,42.5082341,-71.3145743,"400 Carlisle Rd, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," 911 call from a party who is on a boat in the Concord River. The boat is no longer running. They are down stream  (towards Billerica) by about a mile from the boat landing. Car8 Hunt dispatched. Bedford C-2 Sullivan, E-4, Squad-1  and Boat-1 responding. FD was able to transport the 2 occupants of the boat back to the boat landing. "
2021000004990,07/06/2021 14:06,42.5010995,-71.2590226,"100 Old Billerica Rd, Bedford, MA 01730, USA",911 - Hangup or Abandonded,No Action," Received a 911 accidental call from Carleton Willard Village, 100 Old Billerica Road. Spoke to a women who  provided her name. Carleton Willard Village front desk notified of the call and will check on the resident. "
2021000004991,07/06/2021 14:09,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Directed Patrol,Nothing Found, Car5 Sgt. Abajian conducted a directed patrol of the residence at 19 Cot Hill Road. All is in order at this time. 
2021000004992,07/06/2021 14:17,42.4866978,-71.2689326,"1 Ashby Pl h5, Bedford, MA 01730, USA",Ambulance,Report," Received a 911 call from the manager of the Ashby Place housing complex requesting EMS for a medical at 1 Ashby  Place, H5. Engine4 and Medic2 responding. Car3 Maloney and Car4 Sgt. Saunders dispatched. Command reports  police matter. Car12 Detective Martin also responding. Medical Examiners Office and CPAC were notified.  Shawsheen Funeral Home arrived on scene. See Officer Maloney's report. "
2021000004993,07/06/2021 15:17,42.473524,-71.2729052,"6 Fayette Rd, Bedford, MA 01730, USA",911 - Hangup or Abandonded,Checked Area," Received a wireless 911 open line call from the area of 6 Fayette Road. Two attempts on the call back and two  messages were left. Car8 Kennedy dispatched. Officer Kennedy checked the area and was clear, no emergencies were present. "
2021000004994,07/06/2021 15:20,42.485583,-71.2606004,"340 Great Rd, Bedford, MA 01730, USA",Suspicious MV or Pers,Observed," Received a call reporting a MV parked, without plates, in the Bedford Plaza parking lot. Car8 Kennedy dispatched.  Officer Kennedy reports all in order. "
2021000004995,07/06/2021 15:33,42.492828,-71.2587442,"70 Page Rd, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC, Received a call reporting a fire alarm at 70 
